id,first_frame_asset,ending_instruction
01,front_neutral.png,End by holding a joyful wings-raised pose fully visible in the frame.
02,front_neutral.png,End by holding both wings wide open with a clearly happy expression.
03,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
04,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
05,back_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
06,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
07,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
08,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
09,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
10,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
11,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
12,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
13,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
14,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
15,front_neutral.png,End by holding both wings together in front of the chest with a happy expression.
16,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
17,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
18,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
19,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
20,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
21,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
22,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
23,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
24,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
25,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
26,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
27,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
28,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
29,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
30,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
31,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
32,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
33,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
34,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
35,back_neutral.png,"End in a clear sulking back-facing pose, with the duck fully visible."
36,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
37,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
38,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
39,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
40,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
41,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
42,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
43,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
44,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
45,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
46,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
47,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
48,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
49,back_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
50,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
51,front_neutral.png,End in a polite partial bow that is immediately recognizable as a bow; do not return to a plain neutral standing pose.
52,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
53,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
54,side_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
55,back_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
56,threeq_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
57,side_neutral.png,End in a clearly clumsy fallen pose with the wings spread; do not finish as if calmly sitting.
58,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
59,front_neutral.png,"End by holding the strongest readable pose for this action, fully visible in the frame."
60,side_neutral.png,"Do not leave the frame. Near the end, slow slightly and hold a strong side-view sprinting pose fully visible inside the frame."
