id,name,poster_image_file,view,emotion,poster_pose_title,poster_pose_summary,notes,poster_prompt_file,video_prompt_file
01,big_jump,01_big_jump_pose.png,front,joyful excited,airborne jump peak,"The duck is at the highest point of a joyful jump, both feet off the ground, both wings raised high, mouth open in a big smile, body slightly stretched upward.",Keep the full body centered. This is the static sticker poster pose for jumping.,prompts/poster_pose_prompts/01_big_jump_pose.txt,prompts/video_prompts/01_big_jump_video_full.txt
02,flapping_celebration,02_flapping_celebration_pose.png,front,cheerful excited,wings spread celebration,"The duck stands on the ground and spreads both wings wide upward in a big celebratory flap, smiling brightly.",Make the pose read as celebrating or flapping even when static.,prompts/poster_pose_prompts/02_flapping_celebration_pose.txt,prompts/video_prompts/02_flapping_celebration_video_full.txt
03,fast_happy_steps,03_fast_happy_steps_pose.png,three-quarter front,happy playful,quick stepping pose,"The duck leans slightly forward in a playful quick-step pose, one foot lifted, the other planted, tiny bounce in the posture, happy face.",Readable as lively fast little steps.,prompts/poster_pose_prompts/03_fast_happy_steps_pose.txt,prompts/video_prompts/03_fast_happy_steps_video_full.txt
04,full_spin,04_full_spin_pose.png,three-quarter front,happy energetic,spin finish pose,"The duck finishes an energetic spin facing three-quarter front, one foot slightly lifted, wings opened a little for balance, delighted expression.",Use a dynamic twisted body feeling but keep silhouette clean.,prompts/poster_pose_prompts/04_full_spin_pose.txt,prompts/video_prompts/04_full_spin_video_full.txt
05,tail_wiggle,05_tail_wiggle_pose.png,back,playful,tail wiggle pose,"Back view of the duck with hips tilted to one side and tail slightly emphasized, as if mid tail wiggle.",Back-facing and cute; static image should imply tail shaking.,prompts/poster_pose_prompts/05_tail_wiggle_pose.txt,prompts/video_prompts/05_tail_wiggle_video_full.txt
06,victory_pose,06_victory_pose_pose.png,front,victorious proud,victory pose,"The duck stands front-facing with both wings thrust high overhead in a triumphant victory pose, broad smile.",Very readable celebratory silhouette.,prompts/poster_pose_prompts/06_victory_pose_pose.txt,prompts/video_prompts/06_victory_pose_video_full.txt
07,cheerful_step_dance,07_cheerful_step_dance_pose.png,side,happy playful,cheerful step dance pose,"Side view, one foot high in an exaggerated dancing step, body bouncing, one wing slightly out, smile on face.",Should read like a cheerful step dance.,prompts/poster_pose_prompts/07_cheerful_step_dance_pose.txt,prompts/video_prompts/07_cheerful_step_dance_video_full.txt
08,run_toward_camera,08_run_toward_camera_pose.png,front,excited friendly,run toward viewer pose,"Front-facing pose with one foot forward, one foot back, wings slightly out, body leaning forward as if running toward the viewer, excited smile.",Even as a still image it should read as approaching quickly.,prompts/poster_pose_prompts/08_run_toward_camera_pose.txt,prompts/video_prompts/08_run_toward_camera_video_full.txt
09,lying_kick_flap,09_lying_kick_flap_pose.png,three-quarter front,happy silly,lying kick pose,"The duck lies on its back at a three-quarter angle, feet up in the air, wings slightly spread, laughing happily.",Poster pose should clearly show a playful upside-down reaction.,prompts/poster_pose_prompts/09_lying_kick_flap_pose.txt,prompts/video_prompts/09_lying_kick_flap_video_full.txt
10,proud_pose,10_proud_pose_pose.png,three-quarter front,proud confident,chest-out pose,"The duck stands proudly in three-quarter view with chest puffed out, beak slightly raised, one foot confidently forward.",Readable as proud / self-assured.,prompts/poster_pose_prompts/10_proud_pose_pose.txt,prompts/video_prompts/10_proud_pose_video_full.txt
11,full_body_laugh,11_full_body_laugh_pose.png,front,laughing hard,full-body laugh pose,"Front-facing duck leaning back with mouth open in big laughter, wings slightly lifted, body shaking with joy.","Big laugh, no tears yet.",prompts/poster_pose_prompts/11_full_body_laugh_pose.txt,prompts/video_prompts/11_full_body_laugh_video_full.txt
