file,description,type
front_neutral.png,Clean front-facing neutral base pose,base
front_happy.png,Clean front-facing happy base pose,base
threeq_neutral.png,Clean three-quarter neutral base pose,base
side_neutral.png,Clean side-facing neutral base pose,base
back_neutral.png,Clean back-facing neutral base pose,base
front_bow_pose.png,Clean front-facing polite bow pose regenerated; artifact-free,action/base fixed
side_sprint_pose.png,Side sprint representative pose from clean illustration,action/base
01_big_jump_pose.png,Poster pose extracted from successful 01 video,tested poster
02_flapping_pose.png,Poster pose extracted from successful 02 video,tested poster
15_clap_pose.png,Poster pose extracted from successful 15 video,tested poster
51_bow_pose.png,Poster pose extracted from successful 51 video,tested poster
57_slip_pose.png,Poster pose extracted from successful 57 video,tested poster
60_sprint_pose.png,"Poster pose extracted from sprint video; no text, no shadow",tested poster
